subscription_id,user_id,plan_tier,mrr,start_date,end_date,status,cancellation_reason,payment_method
501087,9688458,plus,7.99,2024-09-04,NULL,active,NULL,credit_card
502786,2900302,premium,19.99,2023-12-11,NULL,active,NULL,ach_transfer
514448,6559277,plus,5.00,2024-08-31,NULL,active,NULL,credit_card
528945,1685503,plus,9.99,2024-10-20,NULL,active,NULL,debit_card
536196,4122951,free,0.00,2023-12-17,NULL,active,NULL,NULL
542281,5957107,free,0.00,2024-05-06,NULL,active,NULL,NULL
554411,1432184,free,0.00,2024-11-11,NULL,active,NULL,NULL
555103,8816184,plus,7.99,2024-06-04,NULL,active,NULL,paypal
556510,5660061,plus,7.99,2024-11-07,NULL,active,NULL,paypal
558069,1261420,premium,24.99,2024-07-14,NULL,active,NULL,debit_card
563986,4895090,free,0.00,2024-09-18,NULL,active,NULL,NULL
564641,2546064,premium,24.99,2024-10-01,NULL,active,NULL,credit_card
564793,8643603,free,0.00,2024-08-13,NULL,active,NULL,NULL
574997,4612600,plus,5.00,2024-11-19,NULL,active,NULL,credit_card
578331,2961977,plus,5.00,2024-05-25,NULL,active,NULL,debit_card
581564,2685996,plus,7.99,2024-06-24,NULL,active,NULL,paypal
585104,7395300,plus,5.00,2024-03-19,NULL,active,NULL,ach_transfer
599149,4769484,plus,9.99,2023-03-28,2024-01-18,canceled,technical_issues,paypal
603547,7166160,premium,19.99,2024-05-07,NULL,active,NULL,ach_transfer
610557,4853321,free,0.00,2024-12-26,NULL,active,NULL,NULL
614221,9237881,premium,24.99,2024-01-20,NULL,past_due,NULL,credit_card
641266,8097037,free,0.00,2024-04-08,NULL,active,NULL,NULL
641668,1779957,plus,9.99,2023-02-22,NULL,active,NULL,credit_card
646235,9749917,premium,12.50,2024-11-05,NULL,active,NULL,debit_card
652303,4800986,free,0.00,2024-03-08,2024-12-30,canceled,switched_competitor,NULL
664183,1353791,plus,9.99,2024-12-10,NULL,active,NULL,credit_card
668132,7773329,plus,9.99,2024-06-04,NULL,past_due,NULL,debit_card
674702,1652755,free,0.00,2024-09-24,NULL,active,NULL,NULL
680355,1906450,premium,24.99,2024-09-24,NULL,active,NULL,debit_card
682157,7932667,plus,5.00,2024-06-18,NULL,active,NULL,ach_transfer
690658,2989173,plus,5.00,2024-06-15,NULL,active,NULL,credit_card
691886,8284953,free,0.00,2024-01-31,2024-11-02,canceled,missing_features,NULL
694253,3473199,free,0.00,2023-07-21,2024-03-20,canceled,missing_features,NULL
696760,2693481,plus,9.99,2024-12-29,NULL,active,NULL,credit_card
698258,2619814,premium,19.99,2023-12-18,NULL,active,NULL,ach_transfer
708934,6721877,free,0.00,2024-01-21,NULL,active,NULL,NULL
710472,5305665,free,0.00,2024-08-14,NULL,active,NULL,NULL
722661,1175211,free,0.00,2025-01-05,2025-11-01,canceled,poor_support,NULL
727061,9437482,plus,7.99,2024-03-07,NULL,active,NULL,credit_card
734401,2279898,premium,24.99,2024-06-11,NULL,active,NULL,ach_transfer
745819,1708672,plus,9.99,2024-04-30,2024-05-26,canceled,no_longer_needed,credit_card
754456,8761850,plus,5.00,2024-06-07,NULL,active,NULL,ach_transfer
754887,9947727,plus,9.99,2024-11-06,NULL,active,NULL,paypal
761765,2784006,premium,12.50,2024-07-29,NULL,active,NULL,credit_card
766487,6725570,premium,24.99,2023-10-05,NULL,active,NULL,credit_card
768457,7609001,free,0.00,2024-02-23,NULL,active,NULL,NULL
772160,2557009,free,0.00,2024-06-10,NULL,active,NULL,NULL
779273,9683376,free,0.00,2024-07-31,2025-01-16,canceled,switched_competitor,NULL
781091,2831094,free,0.00,2024-07-04,NULL,active,NULL,NULL
788018,4678621,premium,19.99,2024-04-11,NULL,active,NULL,debit_card
791260,5811671,free,0.00,2024-04-02,NULL,active,NULL,NULL
791592,4440866,free,0.00,2024-10-29,NULL,active,NULL,NULL
801985,2607618,plus,9.99,2024-07-27,NULL,active,NULL,credit_card
802584,7336356,plus,9.99,2024-12-08,2025-11-05,canceled,technical_issues,credit_card
802814,3251743,premium,24.99,2024-09-20,NULL,active,NULL,debit_card
805981,5031419,free,0.00,2024-09-05,NULL,active,NULL,NULL
817053,2521701,premium,12.50,2024-11-26,NULL,active,NULL,paypal
820528,3035848,premium,24.99,2023-12-19,NULL,active,NULL,ach_transfer
820719,3202888,free,0.00,2024-01-12,NULL,active,NULL,NULL
824411,9094566,plus,9.99,2024-10-16,NULL,active,NULL,credit_card
825262,3275598,free,0.00,2023-07-03,NULL,active,NULL,NULL
827392,1245300,premium,24.99,2024-11-11,NULL,active,NULL,credit_card
833586,8422212,plus,9.99,2024-10-01,NULL,active,NULL,credit_card
834990,6347417,plus,9.99,2024-03-28,NULL,active,NULL,credit_card
835055,4415398,plus,5.00,2024-06-17,NULL,active,NULL,credit_card
843630,6780554,premium,12.50,2024-03-27,NULL,active,NULL,credit_card
846176,4526737,premium,24.99,2024-01-16,NULL,active,NULL,debit_card
846450,5679020,free,0.00,2024-04-15,NULL,active,NULL,NULL
860429,2035408,free,0.00,2024-12-14,2025-01-23,canceled,missing_features,NULL
860628,3906405,free,0.00,2024-04-25,NULL,active,NULL,NULL
880027,5626043,free,0.00,2024-04-13,2025-05-02,canceled,switched_competitor,NULL
883650,2964724,premium,24.99,2023-10-04,2024-04-21,canceled,missing_features,credit_card
891428,6693014,free,0.00,2024-12-20,2025-05-23,canceled,poor_support,NULL
897976,8698812,plus,9.99,2024-11-09,NULL,active,NULL,credit_card
903523,4690583,free,0.00,2023-08-28,NULL,active,NULL,NULL
916138,1944353,premium,24.99,2024-11-09,NULL,active,NULL,credit_card
917305,6681635,free,0.00,2024-03-10,NULL,active,NULL,NULL
921465,6813775,premium,24.99,2024-11-11,NULL,active,NULL,debit_card
934455,6005332,plus,7.99,2023-10-31,2024-03-22,canceled,poor_support,debit_card
938280,7311326,free,0.00,2024-05-04,NULL,active,NULL,NULL
940108,6489464,free,0.00,2024-05-17,NULL,active,NULL,NULL
950055,9400944,free,0.00,2023-12-01,2024-08-31,canceled,too_expensive,NULL
950269,2572138,plus,9.99,2024-02-28,2025-03-20,canceled,technical_issues,ach_transfer
950582,2101267,free,0.00,2023-09-10,NULL,active,NULL,NULL
953694,1955205,plus,9.99,2023-10-09,NULL,active,NULL,debit_card
954823,5806799,plus,5.00,2023-10-27,NULL,active,NULL,debit_card
966203,3892371,premium,12.50,2024-05-19,2025-04-15,canceled,missing_features,ach_transfer
966287,8710611,premium,19.99,2023-10-09,2024-01-11,canceled,too_expensive,paypal
