user_id,signup_date,acquisition_channel,device_type,country,age,occupation,referral_source,marketing_campaign_id
1000037,2024-03-06,affiliate,ios,India,48,"Software Engineer",NULL,210268
1000917,2024-03-30,paid_search,android,"United States",37,"Marketing Manager",NULL,421879
1003196,2024-01-24,social,web,"United States",31,Unemployed,NULL,378167
1004011,2024-12-08,organic,ios,Germany,38,"Sales Rep",NULL,NULL
1004138,2023-04-19,organic,web,Germany,26,"Marketing Manager",NULL,NULL
1004677,2023-07-12,social,ios,"United States",37,"Software Engineer",NULL,378167
1006464,2024-11-13,social,android,"United States",40,Freelancer,NULL,465838
1011009,2024-01-20,paid_search,ios,"United States",39,Retired,NULL,421879
1012879,2024-09-21,social,web,Canada,33,Unemployed,NULL,465838
1017297,2024-11-02,affiliate,web,"United States",29,"Software Engineer",NULL,221958
1019156,2024-07-12,affiliate,ios,Australia,54,Nurse,NULL,210268
1019477,2023-04-16,organic,web,"United Kingdom",26,"Small Business Owner",NULL,NULL
1019675,2024-06-03,organic,web,Canada,40,Teacher,NULL,NULL
1021253,2024-08-11,affiliate,android,Australia,31,Student,NULL,832180
1021650,2024-11-09,paid_search,ios,"United States",31,Teacher,NULL,141090
1024363,2024-03-23,organic,android,India,30,Student,NULL,NULL
1026505,2024-10-22,referral,android,Brazil,48,Unemployed,"Community Forum",NULL
1028885,2024-06-25,affiliate,web,India,37,"Small Business Owner",NULL,275203
1029092,2024-11-25,referral,android,"United States",45,"Small Business Owner",Employee,NULL
1029725,2024-07-06,social,web,"United States",31,"Small Business Owner",NULL,465838
1029813,2024-03-06,affiliate,android,Brazil,32,Teacher,NULL,291335
1033734,2023-07-16,paid_search,ios,"United States",34,"Marketing Manager",NULL,421879
1036160,2024-03-20,affiliate,web,"United States",63,Nurse,NULL,210268
1037361,2023-05-12,organic,ios,"United States",37,"Marketing Manager",NULL,NULL
1039353,2023-07-13,organic,web,"United Kingdom",52,Retired,NULL,NULL
1041743,2024-02-12,social,ios,Australia,33,Unemployed,NULL,378167
1042137,2023-09-23,organic,ios,"United States",29,Unemployed,NULL,NULL
1043585,2024-08-06,organic,web,Canada,40,"Sales Rep",NULL,NULL
1044816,2024-12-30,organic,ios,"United States",65,"Software Engineer",NULL,NULL
1045475,2024-02-20,organic,ios,Germany,32,Teacher,NULL,NULL
1045807,2024-02-28,social,android,Australia,18,Unemployed,NULL,378167
1049115,2023-12-22,paid_search,web,Australia,25,"Software Engineer",NULL,818315
1049768,2023-09-01,organic,android,"United States",18,Unemployed,NULL,NULL
1049976,2024-03-06,paid_search,ios,Philippines,33,Accountant,NULL,771155
1051707,2024-07-31,referral,android,Mexico,38,Consultant,Employee,NULL
1052066,2024-08-21,paid_search,ios,"United States",28,"Marketing Manager",NULL,187498
1053687,2024-12-12,affiliate,web,"United States",29,Nurse,NULL,210268
1053997,2024-08-15,social,web,Brazil,32,Consultant,NULL,378167
