subscription_id,user_id,plan_tier,mrr,start_date,end_date,status,cancellation_reason,payment_method
2818694,9480473,plus,7.99,2023-12-20,,active,,ach_transfer
1755242,4360011,plus,5.0,2025-01-11,,active,,credit_card
981858,5715697,free,0.0,2023-05-30,,active,,
2026783,2183493,premium,12.5,2024-10-06,,active,,debit_card
5473606,7722090,free,0.0,2024-09-15,,active,,
3096747,5835451,plus,9.99,2024-09-16,,active,,paypal
5025492,9432372,plus,9.99,2024-12-17,,active,,ach_transfer
1340141,8269623,plus,9.99,2024-11-06,,active,,credit_card
3583741,6352825,premium,24.99,2024-11-04,2025-12-02,canceled,no_longer_needed,debit_card
5663820,4637967,free,0.0,2024-12-22,,active,,
1461328,8439103,free,0.0,2024-04-30,,active,,
3326238,2297776,free,0.0,2023-08-31,,active,,
1654134,2545288,plus,9.99,2024-05-27,,active,,paypal
4429531,2059622,plus,9.99,2023-12-16,,active,,ach_transfer
1643596,5195031,plus,9.99,2025-01-10,,active,,credit_card
5952283,2241082,plus,7.99,2024-09-14,,active,,debit_card
3446975,9604008,free,0.0,2024-05-30,,active,,
4441230,1755111,plus,5.0,2025-01-13,,active,,debit_card
5761460,2169070,premium,12.5,2024-02-02,,active,,debit_card
1438561,4372105,plus,9.99,2024-06-20,,active,,credit_card
4576760,7266376,plus,9.99,2023-07-08,2024-06-14,canceled,too_expensive,credit_card
2838271,6582266,free,0.0,2024-12-23,2025-01-10,canceled,poor_support,
2775705,5057025,premium,24.99,2024-06-10,,active,,ach_transfer
4391523,8169158,free,0.0,2024-07-02,,active,,
1499644,3186268,free,0.0,2024-03-31,,active,,
5955129,6087692,free,0.0,2024-04-28,2024-12-21,canceled,missing_features,
3627182,6130397,free,0.0,2025-01-11,,active,,
1078624,3298756,plus,9.99,2024-07-26,,active,,paypal
2478224,5703855,plus,9.99,2023-10-20,,active,,credit_card
3882295,3658571,free,0.0,2024-03-30,2024-09-01,canceled,no_longer_needed,
4687204,7296495,premium,24.99,2025-01-04,,active,,debit_card
2723697,1308617,free,0.0,2024-03-03,2024-10-25,canceled,too_expensive,
2572847,6201682,plus,9.99,2024-04-22,,active,,credit_card
1044119,8219155,premium,24.99,2023-11-29,,active,,paypal
3560346,8337694,plus,9.99,2024-03-20,,active,,paypal
2631779,7014126,plus,9.99,2024-10-16,,active,,debit_card
1416943,9531225,plus,5.0,2024-02-06,,active,,ach_transfer
3666631,6532410,free,0.0,2024-09-03,,active,,
3318888,6801038,free,0.0,2023-06-14,2023-11-04,canceled,switched_competitor,
5086153,4898190,plus,5.0,2024-07-15,,active,,credit_card
2270002,6796260,free,0.0,2024-09-09,2025-08-16,canceled,missing_features,
1587407,3148815,plus,9.99,2024-04-18,,active,,credit_card
5350396,1491036,plus,9.99,2024-02-05,,active,,debit_card
1924425,2675843,plus,9.99,2024-10-12,,active,,ach_transfer
5156671,9106584,free,0.0,2024-11-28,,past_due,,
5643439,3459507,premium,24.99,2023-03-09,,past_due,,debit_card
2634166,2726199,free,0.0,2023-08-12,2024-04-05,canceled,too_expensive,
674702,1652755,free,0.0,2024-09-24,,active,,
5965035,5622942,free,0.0,2024-09-20,,active,,
1303515,8371858,plus,9.99,2024-12-23,2025-05-30,canceled,missing_features,credit_card
5754348,9920206,free,0.0,2024-09-18,,active,,
5878540,4436252,plus,9.99,2024-04-25,,active,,debit_card
1946713,8734102,plus,9.99,2023-06-12,,active,,ach_transfer
5520769,2578315,premium,24.99,2023-09-27,,active,,debit_card
5990072,9694353,free,0.0,2024-10-03,,active,,
3492440,4138102,free,0.0,2024-04-07,,active,,
772160,2557009,free,0.0,2024-06-10,,active,,
3701678,2079600,free,0.0,2023-06-22,,active,,
3974422,2838524,plus,7.99,2024-07-20,,active,,credit_card
2491780,2414474,premium,24.99,2024-02-27,,active,,debit_card
3281767,9910005,premium,12.5,2024-03-09,,active,,credit_card
5510795,2779472,plus,7.99,2024-09-18,,active,,ach_transfer
680355,1906450,premium,24.99,2024-09-24,,active,,debit_card
4282902,4825091,plus,9.99,2023-05-09,,active,switched_competitor,credit_card
4566259,1265033,free,0.0,2024-01-19,,active,,
1977164,1095028,premium,24.99,2024-07-13,,active,,paypal
1805156,5912301,free,0.0,2024-09-07,2025-05-17,canceled,no_longer_needed,
3794785,4486669,free,0.0,2024-03-25,,active,,
3637480,2821367,premium,24.99,2024-07-15,,active,,credit_card
2786811,7725275,free,0.0,2024-07-28,,active,,
2464114,6198245,free,0.0,2024-08-11,,active,,
4302317,3694245,plus,9.99,2024-06-19,,active,,credit_card
3205113,8421289,plus,5.0,2023-04-22,,active,,credit_card
5234294,6056093,premium,19.99,2023-12-29,,active,,credit_card
3876377,2515554,premium,12.5,2024-11-25,,active,,credit_card
4526681,2500134,premium,24.99,2024-11-29,2025-09-13,canceled,technical_issues,debit_card
2936356,5300915,premium,24.99,2024-06-07,,active,,ach_transfer
1701156,6312399,premium,24.99,2023-10-17,,active,,ach_transfer
1658057,5261946,plus,9.99,2024-10-14,,active,,debit_card
4051581,7776432,premium,24.99,2024-11-06,,active,,debit_card
4735194,1117369,premium,24.99,2023-08-12,,active,,ach_transfer
1920873,1603151,premium,12.5,2024-06-21,,active,,debit_card
1141063,8753638,plus,9.99,2024-03-11,,active,,credit_card
2098907,6417755,plus,9.99,2024-08-19,2025-09-02,canceled,missing_features,debit_card
4018700,2039504,free,0.0,2023-08-29,,active,,
4251497,1144356,premium,24.99,2024-07-09,2024-09-12,canceled,technical_issues,credit_card
2928381,2093060,plus,9.99,2024-08-20,,active,,credit_card
843630,6780554,premium,12.5,2024-03-27,,active,,credit_card
4136488,9167707,premium,24.99,2023-11-06,,active,,debit_card
4679794,9340791,plus,9.99,2024-03-13,,active,,credit_card
1216804,7147454,free,0.0,2023-02-12,,active,,
2808350,9511010,premium,24.99,2024-08-06,,active,,credit_card
2661930,5137270,premium,12.5,2024-08-30,,active,,paypal
4623114,2339083,plus,5.0,2023-09-21,,active,,debit_card
1033021,1684659,premium,19.99,2024-08-30,,active,,ach_transfer
1074405,5622776,plus,9.99,2024-02-20,2025-01-26,canceled,no_longer_needed,credit_card
833586,8422212,plus,9.99,2024-10-01,,active,,credit_card
3008418,3013338,free,0.0,2024-11-22,2025-01-09,canceled,no_longer_needed,
781091,2831094,free,0.0,2024-07-04,,active,,
1100877,7226659,plus,7.99,2023-11-25,,active,,credit_card
2662797,7214624,plus,9.99,2024-02-06,,active,,credit_card
4929116,4974409,free,0.0,2024-11-01,,active,,
2973052,6641379,free,0.0,2024-11-20,,active,,
5084991,3241105,plus,7.99,2024-08-27,2025-04-03,canceled,poor_support,debit_card
2397744,8709019,free,0.0,2024-06-30,2024-08-13,canceled,technical_issues,
1265836,3050053,plus,9.99,2023-08-17,2024-07-21,canceled,technical_issues,credit_card
5722333,2428127,premium,24.99,2024-06-01,2024-11-04,canceled,switched_competitor,credit_card
4397043,5898107,free,0.0,2023-10-06,,active,,
5073287,1873172,free,0.0,2023-03-03,,active,,
3802585,2514101,plus,9.99,2024-01-07,,active,,paypal
3321334,3727423,free,0.0,2023-11-02,,active,,
2210247,4102641,premium,24.99,2025-01-05,,active,,debit_card
3072739,8990340,premium,24.99,2023-12-21,,active,,ach_transfer
5638814,3091013,free,0.0,2023-11-29,,active,,
5657657,1688725,premium,24.99,2023-09-13,2024-04-07,canceled,no_longer_needed,debit_card
4411488,3933865,plus,5.0,2023-11-01,,active,,paypal
3398053,1152999,free,0.0,2024-04-27,,active,,
5374708,6139743,plus,7.99,2024-12-04,,active,,ach_transfer
967451,4928125,plus,9.99,2024-12-20,,active,,credit_card
4669860,2135964,free,0.0,2024-08-26,,active,,
5918879,9865465,premium,24.99,2024-07-09,,active,,paypal
1776781,3754036,premium,24.99,2023-11-20,,active,,ach_transfer
1517594,3801445,free,0.0,2025-01-16,,active,,
2124800,2965730,free,0.0,2023-12-09,,active,,
2586048,5495511,free,0.0,2024-07-31,,active,,
3759895,4452814,premium,12.5,2024-12-10,,active,,credit_card
4889144,4235863,plus,7.99,2024-08-10,2024-10-17,canceled,no_longer_needed,credit_card
2069947,5855920,plus,9.99,2024-05-10,,active,,credit_card
3288489,3398083,plus,9.99,2024-08-16,,past_due,,paypal
2182820,7989875,premium,24.99,2024-01-31,,active,,credit_card
2537057,9856884,premium,24.99,2024-05-08,,active,,debit_card
563986,4895090,free,0.0,2024-09-18,,active,,
3195962,5948600,plus,9.99,2024-11-20,,active,,credit_card
5313501,4243087,plus,9.99,2023-11-11,,active,,ach_transfer
3400607,5290447,premium,19.99,2024-03-21,,active,,ach_transfer
