user_id,signup_date,acquisition_channel,device_type,country,age,occupation,referral_source,marketing_campaign_id
6914063,2024-07-06,social,android,Nigeria,33,Sales Rep,,465838.0
8978450,2024-05-31,paid_search,ios,Philippines,35,Freelancer,,771155.0
4030486,2024-01-04,paid_search,ios,Germany,46,Unemployed,,359178.0
6717467,2024-08-23,social,web,India,18,Freelancer,,378167.0
4751387,2024-07-06,paid_search,android,Australia,36,Marketing Manager,,237337.0
5701669,2024-10-23,social,android,India,34,Sales Rep,,465838.0
6651944,2024-03-07,affiliate,ios,United States,30,Accountant,,210268.0
6422569,2024-01-30,organic,ios,Mexico,18,Unemployed,,
3768362,2024-10-27,organic,web,United Kingdom,21,Nurse,,
3932208,2024-01-18,paid_search,ios,United States,29,Freelancer,,187498.0
1998899,2024-12-13,paid_search,android,Mexico,36,Freelancer,,818315.0
7929909,2024-07-29,affiliate,ios,United States,22,Student,,231932.0
1867838,2024-04-13,paid_search,android,Mexico,45,Software Engineer,,359178.0
9437247,2023-12-12,social,ios,United States,33,Unemployed,,378167.0
6881344,2024-08-02,organic,ios,Canada,42,Consultant,,
4423754,2024-09-17,organic,ios,United States,49,Teacher,,
6750283,2024-08-23,organic,ios,United Kingdom,24,Freelancer,,
5013582,2024-09-05,organic,android,Brazil,18,Software Engineer,,
5537871,2023-12-11,paid_search,web,United States,31,Nurse,,237337.0
9076818,2024-10-24,organic,android,Brazil,22,Teacher,,
1671253,2024-12-10,affiliate,android,United Kingdom,57,Freelancer,,291335.0
3113048,2023-06-09,social,android,United States,35,Marketing Manager,,378167.0
8421473,2024-03-22,referral,android,India,35,Consultant,Employee,
6619236,2023-12-18,social,ios,Germany,24,Small Business Owner,,378167.0
1441904,2023-11-03,affiliate,ios,United States,45,Teacher,,210268.0
2424945,2024-10-09,organic,ios,United Kingdom,40,Software Engineer,,429365.0
2228337,2024-10-31,organic,android,Philippines,31,Teacher,,
1245300,2024-11-03,organic,ios,United Kingdom,38,Consultant,,
9994359,2024-10-17,social,ios,India,37,Student,,465838.0
6127736,2024-07-20,organic,ios,United States,41,Student,,
1769598,2024-10-31,affiliate,ios,Nigeria,30,Teacher,,275203.0
6193278,2024-05-16,paid_search,web,Mexico,35,Sales Rep,,237337.0
8683647,2023-06-14,organic,ios,Canada,29,Nurse,,
3866757,2024-12-03,affiliate,web,India,27,Marketing Manager,,221958.0
